PLAYER,TEAM_BBREF,MP,BPM,SEASON
Antoine Walker,MIN,892.0,-2.2,2007-08
Earl Barron,MIA,889.0,-7.2,2007-08
Quincy Douby,SAC,876.0,-3.4,2007-08
Rasual Butler,NOH,875.0,-1.9,2007-08
Ronald Murray,2TM,874.0,-2.7,2007-08
Ronald Murray,DET,347.0,-2.2,2007-08
Ronald Murray,IND,527.0,-3.0,2007-08
Acie Law,ATL,865.0,-5.2,2007-08
Marcus Williams,NJN,854.0,-2.4,2007-08
Matt Bonner,SAS,853.0,-1.5,2007-08
Brian Skinner,PHO,844.0,-3.0,2007-08
Stromile Swift,2TM,844.0,-2.8,2007-08
Stromile Swift,MEM,549.0,-1.9,2007-08
Stromile Swift,NJN,295.0,-4.4,2007-08
Gordan Giriček,3TM,831.0,-3.2,2007-08
Gordan Giriček,UTA,279.0,-3.8,2007-08
Gordan Giriček,PHI,110.0,-5.1,2007-08
Gordan Giriček,PHO,442.0,-2.3,2007-08
Devean George,DAL,821.0,-2.8,2007-08
Francisco Elson,2TM,813.0,-6.3,2007-08
Francisco Elson,SAS,534.0,-4.9,2007-08
Francisco Elson,SEA,279.0,-8.9,2007-08
Nenad Krstić,NJN,812.0,-6.7,2007-08
Leon Powe,BOS,809.0,0.2,2007-08
Stephon Marbury,NYK,805.0,-0.5,2007-08
Shelden Williams,2TM,776.0,-3.5,2007-08
Shelden Williams,ATL,414.0,-3.5,2007-08
Shelden Williams,SAC,362.0,-3.4,2007-08
Adonal Foyle,ORL,774.0,-1.9,2007-08
Trenton Hassell,2TM,773.0,-5.1,2007-08
Trenton Hassell,DAL,463.0,-4.3,2007-08
Trenton Hassell,NJN,310.0,-6.4,2007-08
Amir Johnson,DET,764.0,1.3,2007-08
Kirk Snyder,2TM,761.0,-1.8,2007-08
Kirk Snyder,HOU,81.0,1.3,2007-08
Kirk Snyder,MIN,680.0,-2.1,2007-08
Tyronn Lue,2TM,736.0,-1.4,2007-08
Tyronn Lue,ATL,564.0,-0.7,2007-08
Tyronn Lue,DAL,172.0,-3.7,2007-08
Hilton Armstrong,NOH,732.0,-5.8,2007-08
Mike James,2TM,720.0,-3.8,2007-08
Mike James,HOU,537.0,-2.9,2007-08
Mike James,NOH,183.0,-6.3,2007-08
Kwame Brown,2TM,713.0,-2.3,2007-08
Kwame Brown,LAL,509.0,-1.9,2007-08
Kwame Brown,MEM,204.0,-3.2,2007-08
Carl Landry,HOU,711.0,1.5,2007-08
Jarron Collins,UTA,702.0,-3.4,2007-08
David Harrison,IND,702.0,-5.9,2007-08
Ira Newble,3TM,698.0,-3.0,2007-08
Ira Newble,CLE,650.0,-2.7,2007-08
Ira Newble,SEA,17.0,-9.8,2007-08
Ira Newble,LAL,31.0,-4.4,2007-08
Dominic McGuire,WAS,695.0,-4.3,2007-08
C.J. Miles,UTA,689.0,0.6,2007-08
